Downloaded on,04/11/2026,18:51:23 EDT,,,
Search URL,https://www.congress.gov/quick-search/crs-products?qs_expand=true&q=%7B%22crs-product-date%22%3A%22Past+Week%22%7D,,,,
,,,,,
Product Number,Title,URL,Publication Date,Author(s),Topic(s)
IF10491,Australia: Background and U.S. Relations,https://www.congress.gov/crs-product/IF10491,04/10/2026,"Tupuola, Jared G.",Foreign Affairs
R48902,Internet Architecture: A Layer-Based Analysis of Selected Internet Policy Issues,https://www.congress.gov/crs-product/R48902,04/10/2026,"Zhu, Ling",
IF13202,Section 408 Permission to Alter Army Corps Works: Developments and Congressional Considerations,https://www.congress.gov/crs-product/IF13202,04/10/2026,"Carter, Nicole T.",
LSB11417,Applying the Americans with Disabilities Act to Ridesharing Companies,https://www.congress.gov/crs-product/LSB11417,04/10/2026,"Anderson, April J.; Graber, Abigail A.",
R48903,The Strait of Hormuz in Brief: Non-Oil Shipments and Effects on U.S. Shippers,https://www.congress.gov/crs-product/R48903,04/10/2026,"Frittelli, John; Goldman, Ben",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
